feature,mean_importance
HOUROFDAY_COS,0.0
BACK_TO_SCHOOL,1.382137634910359e-06
DAYOFWEEK_COS,2.6408343506990657e-06
NUMBER_OF_HOME_MATCHES_ON_LAST_30_DAYS,4.220984052075605e-06
DAY_OF_WEEK,4.271770281438422e-06
MONTHOFYEAR_COS,6.314882481455093e-06
IS_HOLIDAYS,9.73181987385974e-06
OLRANKB4MATCH,1.4064044063827048e-05
MONTHOFYEAR_SIN,1.9285408282641564e-05
HOUROFDAY_SIN,2.0546725685588365e-05
VICTORY_LOSS_TREND_OL,2.786759780430973e-05
VICTORY_LOSS_TREND_ADVERSAIRE,5.42193390447575e-05
AYANTDROITMAX,5.659489762392466e-05
COMPETITION,8.761692248733191e-05
MATCH_TIME,9.003655043522228e-05
PRIX_MOYEN_ZONE,0.00012441286563877373
DAYOFWEEK_SIN,0.00013346762634597965
MINUTEOFHOUR_COS,0.00014238477045048345
AVERAGE_PRICE_ZOT,0.00018965847603699893
MINUTEOFHOUR_SIN,0.00021031426155727323
NB_CATEGORIES,0.00026969034229465107
ADVERSAIRE,0.0002748024035443674
DAYOFYEAR_COS,0.000336726254527514
COMPETITION_STAGE,0.0003424128953481801
INVITMAX,0.00034830158038060455
OBSERVATION_DATE,0.00043332913132497605
DAYOFYEAR_SIN,0.0004866239777979851
J_MOINS,0.0005273570654795284
MATCH_ID,0.0006561283879936678
MATCH_TEMPERATURE,0.0007090209405678796
DAYOFMONTH_COS,0.0008986921965879711
ZONE,0.0011668790995936283
DAYOFMONTH_SIN,0.0012014971272952602
REPUTATION_LEVEL_ADVERSAIRE,0.0016101245740173492
ON_3_DAY_SALES_ROLLING_CUMUL,0.006367156662112308
SAISON,0.007754279501378293
ABOVENDUMAX,0.013978463344891695
SALES_CUMUL,0.028043198264730763
MATCH_DATE,0.02906068541525139
AVG_ATTENDANCE_ZONE,0.10857869704208052
