feature,mean_importance
PRIX_MOYEN_ZONE,-1.9155740930178188e-07
AVERAGE_PRICE_ZOT,-1.3877787807814458e-18
HOUROFDAY_SIN,-1.0408340855860842e-18
COMPETITION,-6.938893903907229e-19
IS_HOLIDAYS,-6.938893903907229e-19
MONTHOFYEAR_COS,0.0
J_MOINS,0.0
BACK_TO_SCHOOL,6.938893903907229e-19
VICTORY_LOSS_TREND_OL,8.976764875299331e-07
NUMBER_OF_HOME_MATCHES_ON_LAST_30_DAYS,1.0292611430991194e-06
DAYOFWEEK_SIN,1.1479196925359702e-06
DAYOFWEEK_COS,1.3192139428564591e-06
HOUROFDAY_COS,1.925907323983844e-06
INVITMAX,4.279432012283327e-06
AYANTDROITMAX,4.438129482494876e-06
MONTHOFYEAR_SIN,4.822917455286208e-06
DAYOFYEAR_SIN,5.773481121837398e-06
VICTORY_LOSS_TREND_ADVERSAIRE,6.39859459214305e-06
OLRANKB4MATCH,7.5557606518856376e-06
NB_CATEGORIES,9.09827859943077e-06
ADVERSAIRE,1.5203857132223623e-05
DAYOFMONTH_COS,3.584564717108232e-05
ZONE,3.741502756406459e-05
MINUTEOFHOUR_COS,4.7013292478763694e-05
MINUTEOFHOUR_SIN,9.28023464958492e-05
COMPETITION_STAGE,0.00011005828173744729
MATCH_TEMPERATURE,0.00016695250325687478
DAYOFYEAR_COS,0.00024951913488209103
DAYOFMONTH_SIN,0.00037407660231954866
REPUTATION_LEVEL_ADVERSAIRE,0.0015737464959499985
ABOVENDUMAX,0.0034132870951442532
ON_3_DAY_SALES_ROLLING_CUMUL,0.005946650722343638
SAISON,0.031125492691783524
SALES_CUMUL,0.03205531477243416
AVG_ATTENDANCE_ZONE,0.07685858409540451
