feature,shap_importance
AVG_ATTENDANCE_ZONE,0.20139795492440268
SAISON,0.08248457278786915
SALES_CUMUL,0.07770740651998344
ABOVENDUMAX,0.017162735626275395
ON_3_DAY_SALES_ROLLING_CUMUL,0.01319501287089783
REPUTATION_LEVEL_ADVERSAIRE,0.011571368378678993
DAYOFYEAR_COS,0.0030886188212224256
MATCH_TEMPERATURE,0.0025186904884960787
DAYOFMONTH_SIN,0.0024420776237677167
OLRANKB4MATCH,0.001105137872268688
COMPETITION_STAGE,0.0008906698843950206
MINUTEOFHOUR_SIN,0.0006516832940302418
MINUTEOFHOUR_COS,0.0004298262850141351
ZONE,0.00035341638637581346
INVITMAX,0.00022873503900950042
DAYOFMONTH_COS,0.00020337979220985732
ADVERSAIRE,0.00012002804146850525
DAYOFYEAR_SIN,9.330862211598379e-05
AYANTDROITMAX,7.784138283289287e-05
VICTORY_LOSS_TREND_ADVERSAIRE,7.625198093257998e-05
NB_CATEGORIES,2.710169123901626e-05
MONTHOFYEAR_SIN,2.6945719622637582e-05
HOUROFDAY_COS,2.184404325901492e-05
VICTORY_LOSS_TREND_OL,1.9777633085251402e-05
DAYOFWEEK_COS,1.8935248553893e-05
DAYOFWEEK_SIN,1.629277996311602e-05
PRIX_MOYEN_ZONE,1.5096705098924232e-05
NUMBER_OF_HOME_MATCHES_ON_LAST_30_DAYS,4.622358203707077e-06
COMPETITION,0.0
J_MOINS,0.0
AVERAGE_PRICE_ZOT,0.0
MONTHOFYEAR_COS,0.0
BACK_TO_SCHOOL,0.0
IS_HOLIDAYS,0.0
HOUROFDAY_SIN,0.0
