feature,mean_importance
BACK_TO_SCHOOL,5.179895468105104e-06
MONTHOFYEAR_COS,8.118514554448337e-06
IS_HOLIDAYS,8.259836697435587e-06
DAYOFWEEK_COS,1.3918795149929671e-05
NUMBER_OF_HOME_MATCHES_ON_LAST_30_DAYS,1.51348919004551e-05
VICTORY_LOSS_TREND_OL,3.0082337241599387e-05
HOUROFDAY_SIN,3.464446737746576e-05
MONTHOFYEAR_SIN,4.000185188832385e-05
AYANTDROITMAX,4.881927131698057e-05
COMPETITION,5.701034374758214e-05
VICTORY_LOSS_TREND_ADVERSAIRE,6.986938062843158e-05
MINUTEOFHOUR_COS,7.887425266339852e-05
OLRANKB4MATCH,0.00010194668199240767
DAYOFWEEK_SIN,0.0001301441797206577
AVERAGE_PRICE_ZOT,0.00013923252436930374
HOUROFDAY_COS,0.00016125451142090015
PRIX_MOYEN_ZONE,0.00016704753410148274
DAYOFYEAR_SIN,0.00029615998495894204
COMPETITION_STAGE,0.0003087859131600134
MINUTEOFHOUR_SIN,0.0003564917718909084
ADVERSAIRE,0.00045487401074093567
INVITMAX,0.00046034818608633765
NB_CATEGORIES,0.00047276005847436654
J_MOINS,0.0005284890515281816
DAYOFYEAR_COS,0.000605900234170617
DAYOFMONTH_COS,0.0010149658478138647
ZONE,0.0010304167715630536
MATCH_TEMPERATURE,0.0010518428840721058
DAYOFMONTH_SIN,0.001522897248744204
REPUTATION_LEVEL_ADVERSAIRE,0.002179964840938993
ON_3_DAY_SALES_ROLLING_CUMUL,0.0070262379134349105
ABOVENDUMAX,0.014177919665350442
SALES_CUMUL,0.027372962644115893
SAISON,0.04638709185242294
AVG_ATTENDANCE_ZONE,0.1074665365319657
