feature,mean_importance
NUMBER_OF_HOME_MATCHES_ON_LAST_30_DAYS,0.00021049019933218354
J_MOINS,0.000990173650056448
VICTORY_LOSS_TREND_ADVERSAIRE,0.0009911632267217462
PRIX_MOYEN_ZONE,0.0010643085020961122
AYANTDROITMAX,0.0011191700898979177
VICTORY_LOSS_TREND_OL,0.0012435797609358042
ON_3_DAY_SALES_ROLLING_CUMUL,0.0013285545120661432
MONTHOFYEAR_SIN,0.0018037977883801144
MONTHOFYEAR_COS,0.0019385544076572872
AVERAGE_PRICE_ZOT,0.0021439273743662254
DAYOFYEAR_COS,0.002287940681118982
DAYOFYEAR_SIN,0.0024829724551493335
INVITMAX,0.002735442928734175
IS_HOLIDAYS,0.0031158433709428555
COMPETITION_STAGE,0.0033706158204653072
DAYOFWEEK_COS,0.003406351784768428
NB_CATEGORIES,0.0037714693341405077
DAYOFMONTH_SIN,0.003791893826862863
MATCH_TEMPERATURE,0.004736717990360403
MINUTEOFHOUR_SIN,0.005418066004320693
HOUROFDAY_COS,0.005588469056122797
DAYOFMONTH_COS,0.005663100569570083
ADVERSAIRE,0.005719091262302676
ZONE,0.006585441251717565
REPUTATION_LEVEL_ADVERSAIRE,0.00813783386796674
HOUROFDAY_SIN,0.008813131290836286
MINUTEOFHOUR_COS,0.009363061157413515
COMPETITION,0.013426106630473267
OLRANKB4MATCH,0.013884675100119332
BACK_TO_SCHOOL,0.01520460908397403
DAYOFWEEK_SIN,0.015458518396843885
ABOVENDUMAX,0.023035308615607077
AVG_ATTENDANCE_ZONE,0.026040933411709367
SALES_CUMUL,0.03050883704962728
SAISON,0.05857681287822526
